???? ????? ??( 20220804 ?? ),,,,,,,
"?? : ????, ??? : ??(? / ? / ?)",,,,,,,
?? : 2014? 07 ? ~ 2014? 12?,,,,,,,
??,??,???,????,????(?),???(kWh),????(?),??????(?/kWh)
201411,????,???,???,"12,387 ","5,848,191 ","296,490,992 ",50.7 
201411,????,???,???,893 ,"7,608,202 ","1,259,934,983 ",165.6 
201411,????,???,? ?,"2,721 ","3,000,521 ","192,841,536 ",64.3 
201411,????,???,???,"4,186 ","6,138,169 ","798,237,701 ",130 
201411,????,???,???,"24,961 ","4,402,760 ","531,125,976 ",120.6 
201411,????,???,??,"50,871 ","27,674,605 ","3,159,784,441 ",114.2 
201411,????,???,???,"4,554 ","841,105 ","90,387,295 ",107.5 
201411,????,???,???,50 ,"412,428 ","55,970,318 ",135.7 
201411,????,???,???,"9,160 ","7,266,512 ","371,977,367 ",51.2 
201411,????,???,???,"2,224 ","175,982,229 ","21,126,070,788 ",120 
201411,????,???,? ?,"3,276 ","3,368,942 ","214,599,284 ",63.7 
201411,????,???,???,"5,291 ","8,851,172 ","1,178,255,904 ",133.1 
201411,????,???,???,"26,905 ","7,071,118 ","872,485,312 ",123.4 
201411,????,???,??,"51,460 ","203,793,506 ","23,909,746,268 ",117.3 
201411,????,???,???,"3,723 ","500,963 ","55,568,145 ",110.9 
201411,????,???,???,33 ,"294,445 ","37,753,614 ",128.2 
201411,????,???,???,"9,948 ","5,226,264 ","246,500,691 ",47.2 
201411,????,???,???,733 ,"4,026,203 ","550,159,111 ",136.6 
201411,????,???,? ?,"1,720 ","2,589,195 ","160,344,576 ",61.9 
201411,????,???,???,"3,550 ","4,658,777 ","608,254,682 ",130.6 
201411,????,???,???,"21,222 ","4,105,102 ","498,937,354 ",121.5 
201411,????,???,??,"40,929 ","21,400,949 ","2,157,518,173 ",100.8 
201411,????,???,???,"2,676 ","518,808 ","52,429,160 ",101.1 
201411,????,???,???,49 ,"342,700 ","47,461,043 ",138.5 
201411,????,???,???,"12,249 ","9,957,821 ","456,309,352 ",45.8 
201411,????,???,???,966 ,"6,421,525 ","791,362,611 ",123.2 
201411,????,???,? ?,"2,257 ","3,255,078 ","205,638,033 ",63.2 
201411,????,???,???,"4,028 ","5,818,580 ","745,841,851 ",128.2 
201411,????,???,???,"27,490 ","4,589,264 ","557,911,719 ",121.6 
201411,????,???,??,"49,715 ","30,903,776 ","2,856,953,769 ",92.4 
201412,????,???,???,"8,630 ","1,095,039 ","114,132,321 ",104.2 
201412,????,???,???,110 ,"2,094,864 ","250,267,966 ",119.5 
201412,????,???,???,"5,580 ","4,706,874 ","234,079,700 ",49.7 
201412,????,???,???,"1,499 ","105,982,968 ","13,011,265,414 ",122.8 
201412,????,???,? ?,"4,017 ","9,458,182 ","716,094,912 ",75.7 
201412,????,???,???,"16,739 ","38,473,817 ","5,408,216,479 ",140.6 
201412,????,???,???,"77,240 ","28,538,750 ","3,730,769,689 ",130.7 
201412,????,???,??,"113,815 ","190,350,494 ","23,464,826,481 ",123.3 
201412,????,???,???,"5,908 ","648,598 ","65,912,424 ",101.6 
201412,????,???,???,53 ,"1,027,119 ","114,863,676 ",111.8 
201412,????,???,???,"10,348 ","5,396,347 ","272,660,663 ",50.5 
201412,????,???,???,809 ,"11,352,708 ","1,445,954,241 ",127.4 
201412,????,???,? ?,"2,637 ","4,827,018 ","366,894,827 ",76 
201412,????,???,???,"4,963 ","9,052,881 ","1,227,258,273 ",135.6 
201412,????,???,???,"27,807 ","6,659,913 ","833,231,589 ",125.1 
201412,????,???,??,"52,525 ","38,964,584 ","4,326,775,693 ",111 
201412,????,???,???,"5,688 ","547,143 ","55,891,843 ",102.2 
201412,????,???,???,44 ,"660,459 ","78,203,172 ",118.4 
201412,????,???,???,"7,511 ","10,711,840 ","527,025,488 ",49.2 
201412,????,???,???,910 ,"29,318,881 ","3,954,324,386 ",134.9 
201412,????,???,? ?,"2,764 ","4,596,265 ","345,822,259 ",75.2 
201412,????,???,???,"4,612 ","8,174,267 ","1,143,019,593 ",139.8 
201412,????,???,???,"27,962 ","5,998,664 ","768,434,204 ",128.1 
201412,????,???,??,"49,491 ","60,007,519 ","6,872,720,945 ",114.5 
201412,????,???,???,"12,500 ","3,852,884 ","407,975,264 ",105.9 
201412,????,???,???,190 ,"5,712,347 ","668,247,392 ",117 
201412,????,???,???,"8,678 ","16,676,775 ","803,417,992 ",48.2 
201412,????,???,???,"9,060 ","288,056,504 ","38,236,114,049 ",132.7 
201412,????,???,? ?,"7,220 ","12,233,678 ","927,984,830 ",75.9 
201412,????,???,???,"28,118 ","75,741,915 ","10,568,866,217 ",139.5 
201412,????,???,???,"121,375 ","55,485,536 ","6,934,626,617 ",125 
201412,????,???,??,"187,141 ","457,759,639 ","58,547,232,361 ",127.9 
201412,????,???,???,"4,176 ","350,848 ","33,293,341 ",94.9 
201412,????,???,???,42 ,"635,038 ","70,716,936 ",111.4 
201412,????,???,???,"9,730 ","3,563,040 ","181,787,147 ",51 
201412,????,???,???,818 ,"1,727,046 ","234,875,096 ",136 
201412,????,???,? ?,"2,099 ","3,544,497 ","266,180,128 ",75.1 
201412,????,???,???,"4,659 ","7,701,856 ","1,094,269,914 ",142.1 
201412,????,???,???,"25,843 ","4,847,535 ","613,149,315 ",126.5 
201412,????,???,??,"47,367 ","22,369,860 ","2,494,271,877 ",111.5 
201412,????,???,???,"8,270 ","1,044,832 ","111,842,075 ",107 
201412,????,???,???,62 ,"1,590,295 ","173,307,340 ",109 
201412,????,???,???,"20,947 ","30,857,145 ","1,454,280,954 ",47.1 
201412,????,???,???,"1,381 ","41,499,802 ","5,380,482,164 ",129.7 
201412,????,???,? ?,"4,761 ","7,437,108 ","561,014,013 ",75.4 
201412,????,???,???,"8,979 ","14,876,614 ","2,067,405,294 ",139 
201412,????,???,???,"49,520 ","11,371,874 ","1,430,803,216 ",125.8 
201412,????,???,??,"93,920 ","108,677,670 ","11,179,135,056 ",102.9 
201412,????,???,???,"7,565 ","970,886 ","102,937,426 ",106 
201412,????,???,???,63 ,"1,117,539 ","133,343,281 ",119.3 
201412,????,???,???,"6,530 ","5,190,531 ","258,985,635 ",49.9 
201412,????,???,???,"1,207 ","70,676,574 ","8,839,248,180 ",125.1 
201412,????,???,? ?,"2,945 ","5,896,911 ","442,909,164 ",75.1 
201412,????,???,???,"8,957 ","18,383,316 ","2,527,734,167 ",137.5 
201412,????,???,???,"43,173 ","12,242,423 ","1,497,158,207 ",122.3 
201412,????,???,??,"70,440 ","114,478,180 ","13,802,316,060 ",120.6 
201412,????,???,???,"3,103 ","380,083 ","42,153,039 ",110.9 
201412,????,???,???,42 ,"405,000 ","52,429,731 ",129.5 
201412,????,???,???,"10,187 ","8,109,687 ","395,788,923 ",48.8 
201412,????,???,???,849 ,"5,598,714 ","773,684,013 ",138.2 
201412,????,???,? ?,"2,013 ","3,977,676 ","297,596,893 ",74.8 
201412,????,???,???,"3,394 ","5,098,042 ","745,448,085 ",146.2 
201412,????,???,???,"19,470 ","3,508,242 ","441,878,673 ",126 
201412,????,???,??,"39,058 ","27,077,444 ","2,748,979,357 ",101.5 
201412,????,???,???,"9,327 ","2,227,049 ","232,152,604 ",104.2 
201412,????,???,???,102 ,"3,426,239 ","396,468,380 ",115.7 
201412,????,???,???,"3,783 ","3,432,362 ","167,908,204 ",48.9 
201412,????,???,???,"3,433 ","218,287,640 ","26,670,432,259 ",122.2 
201412,????,???,? ?,"2,832 ","6,915,933 ","520,758,912 ",75.3 
201412,????,???,???,"16,012 ","43,599,568 ","6,028,984,238 ",138.3 
201412,????,???,???,"68,012 ","31,577,418 ","3,789,037,793 ",120 
201412,????,???,??,"103,501 ","309,466,209 ","37,805,742,390 ",122.2 
201412,????,???,???,"4,734 ","504,381 ","45,715,621 ",90.6 
201412,????,???,???,26 ,"321,760 ","40,880,152 ",127.1 
201412,????,???,???,"6,384 ","7,736,411 ","372,360,495 ",48.1 
201412,????,???,???,596 ,"17,928,197 ","2,256,545,980 ",125.9 
201412,????,???,? ?,"1,591 ","2,620,531 ","191,160,452 ",72.9 
201412,????,???,???,"2,544 ","3,618,996 ","510,241,001 ",141 
201412,????,???,???,"16,352 ","2,804,870 ","348,868,280 ",124.4 
201412,????,???,??,"32,227 ","35,535,146 ","3,765,771,981 ",106 
201412,????,???,???,"14,784 ","2,023,021 ","213,740,106 ",105.7 
201412,????,???,???,149 ,"8,306,317 ","893,964,698 ",107.6 
201412,????,???,???,"15,893 ","42,382,013 ","2,059,164,254 ",48.6 
201412,????,???,???,"2,107 ","77,328,357 ","9,447,992,378 ",122.2 
201412,????,???,? ?,"10,681 ","15,923,299 ","1,203,312,860 ",75.6 
201412,????,???,???,"23,629 ","52,057,366 ","7,177,996,579 ",137.9 
201412,????,???,???,"113,639 ","38,080,503 ","4,837,270,002 ",127 
201412,????,???,??,"180,882 ","236,100,876 ","25,833,440,877 ",109.4 
201412,????,???,???,"6,239 ","580,303 ","56,959,255 ",98.2 
201412,????,???,???,57 ,"849,104 ","97,804,279 ",115.2 
201412,????,???,???,"11,090 ","24,642,631 ","1,150,114,620 ",46.7 
201412,????,???,???,895 ,"36,720,186 ","4,671,047,066 ",127.2 
201412,????,???,? ?,"2,015 ","3,491,835 ","265,794,723 ",76.1 
201412,????,???,???,"5,407 ","10,804,692 ","1,470,531,939 ",136.1 
201412,????,???,???,"31,784 ","6,492,680 ","819,648,320 ",126.2 
201412,????,???,??,"57,487 ","83,581,431 ","8,531,900,202 ",102.1 
201412,????,???,???,"26,479 ","7,427,911 ","789,952,855 ",106.3 
201412,????,???,???,403 ,"13,417,467 ","1,525,467,780 ",113.7 
201412,????,???,???,"11,324 ","18,824,300 ","900,307,143 ",47.8 
201412,????,???,???,"6,284 ","598,443,457 ","72,269,400,611 ",120.8 
201412,????,???,? ?,"39,591 ","43,864,429 ","3,328,355,349 ",75.9 
201412,????,???,???,"55,536 ","164,081,181 ","22,677,042,633 ",138.2 
201412,????,???,???,"311,866 ","114,862,643 ","14,436,542,143 ",125.7 
201412,????,???,??,"451,483 ","960,921,388 ","115,927,068,514 ",120.6 
201412,????,???,???,"7,749 ","810,819 ","85,502,517 ",105.5 
201412,????,???,???,71 ,"1,200,511 ","144,424,125 ",120.3 
201412,????,???,???,"3,429 ","6,896,810 ","339,613,015 ",49.2 
201412,????,???,???,"1,150 ","48,632,787 ","5,722,360,472 ",117.7 
201412,????,???,? ?,"2,511 ","4,708,492 ","355,186,036 ",75.4 
201412,????,???,???,"10,442 ","23,293,065 ","3,306,997,181 ",142 
201412,????,???,???,"52,301 ","15,331,126 ","1,989,760,473 ",129.8 
201412,????,???,??,"77,653 ","100,873,610 ","11,943,843,819 ",118.4 
201412,????,???,???,"5,688 ","395,299 ","40,250,011 ",101.8 
201412,????,???,???,47 ,"454,327 ","58,194,614 ",128.1 
201412,????,???,???,"11,105 ","7,766,510 ","383,315,610 ",49.4 
201412,????,???,???,895 ,"5,692,952 ","1,140,789,265 ",200.4 
201412,????,???,? ?,"2,720 ","4,341,804 ","328,107,965 ",75.6 
201412,????,???,???,"4,122 ","6,813,331 ","953,735,045 ",140 
201412,????,???,???,"25,032 ","4,584,314 ","584,639,764 ",127.5 
201412,????,???,??,"49,609 ","30,048,537 ","3,489,032,274 ",116.1 
201412,????,???,???,"4,598 ","868,008 ","90,820,751 ",104.6 
201412,????,???,???,50 ,"604,102 ","76,318,559 ",126.3 
201412,????,???,???,"8,534 ","12,092,433 ","587,717,982 ",48.6 
201412,????,???,???,"2,224 ","184,977,826 ","22,406,972,967 ",121.1 
201412,????,???,? ?,"3,273 ","5,451,623 ","412,220,976 ",75.6 
201412,????,???,???,"5,292 ","9,989,006 ","1,402,851,759 ",140.4 
201412,????,???,???,"26,992 ","7,417,668 ","944,286,781 ",127.3 
201412,????,???,??,"50,963 ","221,400,666 ","25,921,189,775 ",117.1 
201412,????,???,???,"3,725 ","496,478 ","54,602,515 ",110 
201412,????,???,???,33 ,"449,063 ","53,661,811 ",119.5 
201412,????,???,???,"7,932 ","4,755,216 ","236,111,191 ",49.7 
201412,????,???,???,735 ,"4,224,002 ","618,145,982 ",146.3 
201412,????,???,? ?,"1,721 ","3,710,398 ","273,602,399 ",73.7 
201412,????,???,???,"3,534 ","5,219,458 ","740,940,271 ",142 
201412,????,???,???,"21,260 ","4,254,173 ","536,643,433 ",126.1 
201412,????,???,??,"38,940 ","23,108,788 ","2,513,707,602 ",108.8 
201412,????,???,???,"2,678 ","543,447 ","52,500,686 ",96.6 
201412,????,???,???,49 ,"524,070 ","66,247,213 ",126.4 
201412,????,???,???,"10,048 ","9,617,180 ","467,043,535 ",48.6 
201412,????,???,???,959 ,"6,504,273 ","848,881,445 ",130.5 
201412,????,???,? ?,"2,255 ","4,735,524 ","355,872,247 ",75.1 
201412,????,???,???,"4,033 ","6,499,902 ","903,352,226 ",139 
201412,????,???,???,"27,493 ","4,590,355 ","564,431,070 ",123 
201412,????,???,??,"47,515 ","33,014,751 ","3,258,328,422 ",98.7 
